time,biastg
8/6/2021,-0.3651875
8/7/2021,-0.38307494
8/8/2021,-0.36749595
8/9/2021,-0.4465386
8/10/2021,
8/11/2021,-0.50288016
8/12/2021,-0.16956943
8/13/2021,-0.15814032
8/14/2021,-0.077750854
8/15/2021,-0.21059725
8/16/2021,-0.05945896
8/17/2021,-0.18455917
8/18/2021,0.17048061
8/19/2021,0.20869829
8/20/2021,0.1749971
8/21/2021,0.30452794
8/22/2021,0.16788644
8/23/2021,0.25849444
8/24/2021,0.05752854
8/25/2021,0.4116844
8/26/2021,
8/27/2021,0.5224198
8/28/2021,0.13088068
8/29/2021,0.31004843
8/30/2021,0.24102724
8/31/2021,0.29784247
9/1/2021,0.457069
9/2/2021,0.4267004
9/3/2021,0.6065039
9/4/2021,0.28152466
9/5/2021,0.05672576
9/6/2021,0.16171391
9/7/2021,0.3739229
9/8/2021,0.2662896
9/9/2021,0.33532196
9/10/2021,-0.08534201
9/11/2021,-0.38197666
9/12/2021,-0.2617031
9/13/2021,-0.17629686
9/14/2021,-0.05360779
9/15/2021,0.19365492
9/16/2021,0.16240214
9/17/2021,0.08849985
9/18/2021,0.10251824
9/19/2021,0.16606823
9/20/2021,0.33865497
9/21/2021,0.5063238
9/22/2021,0.43600252
9/23/2021,0.4652533
9/24/2021,0.54445636
9/25/2021,0.1889554
9/26/2021,-0.013348357
9/27/2021,0.15018782
9/28/2021,0.51607996
9/29/2021,0.55490726
9/30/2021,0.67486995
10/1/2021,0.87980366
10/2/2021,0.86585116
10/3/2021,0.82661724
10/4/2021,0.7728984
10/5/2021,0.9251108
10/6/2021,0.8118188
10/7/2021,0.69716257
10/8/2021,0.21753404
10/9/2021,0.1255896
10/10/2021,-0.19473177
10/11/2021,-0.095175914
10/12/2021,-0.58675677
10/13/2021,-0.7606453
10/14/2021,-0.72718334
10/15/2021,-0.69122016
10/16/2021,-0.46502802
10/17/2021,-0.32262492
10/18/2021,-0.024172954
10/19/2021,-0.107900366
10/20/2021,0.08195838
10/21/2021,-0.17653896
10/22/2021,0.0749812
10/23/2021,0.3788885
10/24/2021,0.12047576
10/25/2021,-0.14043395
10/26/2021,0.058001272
10/27/2021,0.008530046
10/28/2021,0.000332494
10/29/2021,-0.09807885
10/30/2021,-0.2985172
10/31/2021,
11/1/2021,-0.045448575
11/2/2021,-0.34279194
11/3/2021,0.17267753
11/4/2021,0.54784006
11/5/2021,0.3629008
11/6/2021,0.16044796
11/7/2021,0.05820032
11/8/2021,0.047268894
11/9/2021,0.3147404
11/10/2021,0.4460713
11/11/2021,0.1547565
11/12/2021,0.2338027
11/13/2021,0.034888268
11/14/2021,-0.14796998
11/15/2021,-0.29008704
