time,dbiastg
2021-08-06,0.0037158157
2021-08-07,0.04013731
2021-08-08,-0.112974934
2021-08-09,-0.03840426
2021-08-10,
2021-08-11,-0.06842977
2021-08-12,0.00794892
2021-08-13,-0.024179801
2021-08-14,0.09711617
2021-08-15,-0.19630802
2021-08-16,
2021-08-17,
2021-08-18,0.26788846
2021-08-19,-0.008941616
2021-08-20,-0.0062742145
2021-08-21,0.11516408
2021-08-22,-0.06554756
2021-08-23,0.018124217
2021-08-24,-0.12571855
2021-08-25,0.17610629
2021-08-26,
2021-08-27,0.03895794
2021-08-28,-0.18228167
2021-08-29,0.09711251
2021-08-30,-0.028668905
2021-08-31,0.14366572
2021-09-01,0.10376311
2021-09-02,0.025673922
2021-09-03,0.029159212
2021-09-04,-0.14648275
2021-09-05,-0.019405881
2021-09-06,0.10289059
2021-09-07,0.08656097
2021-09-08,-0.03712949
2021-09-09,0.04472817
2021-09-10,-0.28410408
2021-09-11,-0.18358669
2021-09-12,0.13648778
2021-09-13,0.13301213
2021-09-14,-0.024907812
2021-09-15,0.21108848
2021-09-16,0.08153476
2021-09-17,0.03399515
2021-09-18,-0.02924474
2021-09-19,0.12122198
2021-09-20,-0.047151618
2021-09-21,-0.027163662
2021-09-22,0.020466065
2021-09-23,0.14064218
2021-09-24,0.088892646
2021-09-25,-0.19075678
2021-09-26,-0.0816335
2021-09-27,0.1638275
2021-09-28,0.29655612
2021-09-29,0.18227048
2021-09-30,0.1206529
2021-10-01,0.16516632
2021-10-02,0.088071235
2021-10-03,0.08942846
2021-10-04,0.06266035
2021-10-05,-0.005665929
2021-10-06,-0.225509
2021-10-07,-0.07816632
2021-10-08,-0.18010002
2021-10-09,0.01465426
2021-10-10,-0.18264803
2021-10-11,0.22670391
2021-10-12,-0.35895246
2021-10-13,-0.09858677
2021-10-14,0.03650271
2021-10-15,0.08132067
2021-10-16,0.012619063
2021-10-17,0.09193906
2021-10-18,0.15311725
2021-10-19,-0.03151398
2021-10-20,0.09111164
2021-10-21,
2021-10-22,
2021-10-23,0.13793667
2021-10-24,-0.2602143
2021-10-25,-0.13937066
2021-10-26,0.289488
2021-10-27,-0.06874394
2021-10-28,0.13829143
2021-10-29,-0.14544918
2021-10-30,-0.18314116
2021-10-31,
2021-11-01,0.2819792
2021-11-02,-0.08999016
2021-11-03,0.15243845
2021-11-04,0.25060672
2021-11-05,0.06413482
2021-11-06,-0.27233967
2021-11-07,0.028454939
2021-11-08,-0.14594267
2021-11-09,0.14306445
2021-11-10,
2021-11-11,
2021-11-12,0.0030334336
2021-11-13,-0.055330023
2021-11-14,0.044533305
2021-11-15,-0.032010783
2021-11-16,0.025999462
2021-11-17,0.09697831
2021-11-18,
2021-11-19,
2021-11-20,
2021-11-21,
2021-11-22,-0.002808284
2021-11-23,-0.18239251
2021-11-24,0.052547622
2021-11-25,0.35631981
2021-11-26,
2021-11-27,
2021-11-28,
2021-11-29,
2021-11-30,
2021-12-01,-0.16966867
2021-12-02,-0.14030878
2021-12-03,
2021-12-04,
2021-12-05,
2021-12-06,
2021-12-07,0.059588972
2021-12-08,-0.09286357
2021-12-09,-0.07346569
2021-12-10,-0.053018603
2021-12-11,0.1440617
2021-12-12,-0.05094732
2021-12-13,0.053417392
2021-12-14,-0.08236095
2021-12-15,
2021-12-16,0.029654376
2021-12-17,-0.08560769
2021-12-18,-0.0035771332
2021-12-19,0.016800432
2021-12-20,
2021-12-21,
2021-12-22,-0.046444368
2021-12-23,-0.20933408
2021-12-24,0.007737666
2021-12-25,-0.0337188
2021-12-26,0.09375928
2021-12-27,0.031619202
2021-12-28,-0.029166436
2021-12-29,-0.060779303
2021-12-30,
2021-12-31,-0.23679969
2022-01-01,-0.29593468
2022-01-02,0.07440217
2022-01-03,0.0828823
2022-01-04,0.03037364
2022-01-05,0.07550485
2022-01-06,0.0032122813
2022-01-07,-0.0050148177
2022-01-08,
2022-01-09,
2022-01-10,-0.00036025696
2022-01-11,0.029708376
2022-01-12,0.093719654
2022-01-13,0.05876449
2022-01-14,0.06670156
2022-01-15,-0.06006598
2022-01-16,-0.16140449
2022-01-17,-0.024468092
2022-01-18,
2022-01-19,0.15298216
2022-01-20,0.02671288
2022-01-21,0.011128616
2022-01-22,-0.034979112
2022-01-23,0.107401006
2022-01-24,-0.15530278
2022-01-25,-0.08324609
2022-01-26,-0.04657487
2022-01-27,
2022-01-28,
2022-01-29,-0.124429666
2022-01-30,0.13988255
2022-01-31,0.18479861
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,0.06505305
2022-02-06,
2022-02-07,0.25188798
2022-02-08,-0.20081061
2022-02-09,-0.11081899
2022-02-10,0.12854068
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,-0.11819427
2022-02-15,-2.5818676e-06
2022-02-16,0.0072815833
2022-02-17,-0.27170056
2022-02-18,0.13334782
2022-02-19,
2022-02-20,
2022-02-21,0.027719213
2022-02-22,-0.17986399
2022-02-23,-0.0067360154
2022-02-24,0.1294894
2022-02-25,0.06468039
2022-02-26,0.026502203
2022-02-27,0.013000396
2022-02-28,-0.0977925
2022-03-01,
2022-03-02,0.056514967
2022-03-03,-0.20802474
2022-03-04,-0.03044148
2022-03-05,0.056169383
2022-03-06,0.23643465
2022-03-07,0.03923693
2022-03-08,0.17706983
2022-03-09,0.1301556
2022-03-10,0.077358365
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,0.013616178
2022-03-15,0.09143711
2022-03-16,-0.04636652
2022-03-17,0.05012753
2022-03-18,0.041690618
2022-03-19,0.07235562
2022-03-20,0.10417269
2022-03-21,
2022-03-22,
2022-03-23,0.07439321
2022-03-24,-0.074829474
2022-03-25,-0.27064925
2022-03-26,0.0868894
2022-03-27,0.12479605
2022-03-28,0.07951519
2022-03-29,-0.43082035
2022-03-30,0.041212443
2022-03-31,
2022-04-01,0.032501396
2022-04-02,0.116695836
2022-04-03,-0.036162477
2022-04-04,-0.22931233
2022-04-05,-0.32340345
2022-04-06,0.18217282
2022-04-07,0.35144678
2022-04-08,0.17246571
2022-04-09,0.022897303
2022-04-10,0.05374177
2022-04-11,-0.18116985
2022-04-12,-0.11690319
2022-04-13,-0.23439927
2022-04-14,0.2453839
2022-04-15,0.2056727
2022-04-16,-0.3058968
2022-04-17,-0.06644877
2022-04-18,
2022-04-19,
2022-04-20,0.048281968
2022-04-21,0.04689342
2022-04-22,0.049020372
2022-04-23,0.016526164
2022-04-24,0.10362116
2022-04-25,0.17878905
2022-04-26,-0.02453579
2022-04-27,-0.24395365
2022-04-28,
2022-04-29,0.2700418
2022-04-30,0.109299734
